"id","sex","age","weight","mid","agem","weightm","fid","agef","weightf"
"wgj47",0,77.0999984741211,48.6363639831543,"qkdwn",NA,NA,"xh37n",NA,NA
"cn6ai",0,NA,NA,"vd2qo",NA,NA,"bsq2f",NA,NA
"gjauh",1,NA,NA,"bvusb",NA,NA,"olhyl",NA,NA
"vtjsk",0,68.8499984741211,51.1659088134766,"fhath",NA,NA,"c7e2l",NA,NA
"bg7fo",1,66.5500030517578,61.4115867614746,"i88th",NA,NA,"him0j",NA,NA
"yef7v",1,61.3666648864746,61.7878799438477,"feehl",NA,NA,"rrzmd",NA,NA
"kc4vp",1,68.2200012207031,50.5563621520996,"rnma6",NA,NA,"prbsj",NA,NA
"ziyv7",0,66.5666656494141,46.257682800293,"rnma6",NA,NA,"prbsj",NA,NA
"h23bd",1,60.5466651916504,60.5726737976074,"y5sge",NA,NA,"mkdc1",NA,NA
"vryrs",1,58.2799987792969,51.9272727966309,"onjlz",NA,NA,"t40eg",NA,NA
"js40l",1,55.5,60.2022743225098,"i00zi",NA,NA,"cjd9x",NA,NA
"ts0to",1,57.0499992370605,62.5,"i00zi",NA,NA,"cjd9x",NA,NA
"v6guf",1,49.6699981689453,58.7645454406738,"v298i",NA,NA,"b7ofy",NA,NA
"j7o2w",1,48.8444442749023,60.3060607910156,"wt8p3",NA,NA,"cxsso",NA,NA
"s7hd3",1,51.2666664123535,52.024242401123,"oixsj",NA,NA,"n0l98",NA,NA
"skt5n",1,60.7916679382324,51.1037216186523,"n54re",NA,NA,"ekvcl",NA,NA
"z3dn0",1,48.658332824707,59.5075759887695,"wel55",NA,NA,"stdmm",NA,NA
"a6a19",0,49.2874984741211,46.5704536437988,"ef1cp",NA,NA,"mfg36",NA,NA
"gz58h",0,51.4599990844727,43.8427276611328,"t24q8",NA,NA,"gz5tt",NA,NA
"kf5t9",0,56.0750007629395,47.8486328125,"mvmb4",NA,NA,"bhaks",NA,NA
"pj0jz",0,55.1333351135254,46.9696960449219,"wel55",NA,NA,"pjblp",NA,NA
"zutpw",1,54.2437515258789,55.3598594665527,"cah4g",NA,NA,"vo53y",NA,NA
"vjcqa",0,53.3545455932617,55.9476890563965,"feehl",NA,NA,"i1ogn",NA,NA
"uxw0n",1,52.6500015258789,59.064079284668,"rnma6",NA,NA,"prbsj",NA,NA
"x1o5j",0,45.4166679382324,54.6530303955078,"wt8p3",NA,NA,"cxsso",NA,NA
"u88cu",1,49.2999992370605,59.2272720336914,"ow34o",NA,NA,"y69kv",NA,NA
"knji4",1,44.7142868041992,59.8597412109375,"i00zi",NA,NA,"cjd9x",NA,NA
