"mid","rsm","rs","age","agem","schedcst"
"by5bw",8,1.87999999523163,45,68,1
"xgwzq",3,NA,30,55,1
"t5jkd",5,NA,35,50,1
"d1meb",3,5,50,85,1
"m7r6t",3,1.87999999523163,30,57,1
"sggv8",6,NA,59,62,1
"fmgw0",7,NA,31,65,1
"ijb16",3,0.939999997615814,42,58,0
"erkmu",2,4,53,70,1
"t5jkd",5,NA,22,50,1
"qn372",2,NA,34,54,1
"q89oy",4,NA,60,70,0
"i04on",5,NA,25,65,1
"zxij7",5,5,45,60,1
"c3k81",8,4,48,66,0
"cfb9d",7,0.939999997615814,28,58,1
"b5pea",3,NA,40,45,1
"ddd0y",6,NA,55,70,1
"i116q",3,1.94000005722046,38,45,0
"u75pu",1,2.94000005722046,55,60,1
"rymlw",7,0.939999997615814,29,48,1
"yg55o",7,1.94000005722046,35,45,1
"xuwoc",2,NA,38,65,1
"ix3z5",6,NA,36,60,1
"b4c4n",7,NA,30,60,1
"nbo7m",1,1.87999999523163,37,55,1
"j8bkx",1,3.88000011444092,40,40,1
"c4t3f",6,3,45,66,0
"ec3eu",5,NA,28,65,1
"qs9wy",5,NA,45,60,1
"u0xh9",7,1.94000005722046,42,60,1
"uy7iz",4,NA,48,90,1
"nlugb",3,8,45,75,1
"tabpg",7,NA,30,60,1
"alpdl",4,NA,38,62,1
"thq2c",4,5,45,57,1
"wcj8y",6,4.88000011444092,42,65,0
"npbu6",7,5,43,75,0
"v2m07",4,NA,40,30,1
"uksh3",6,NA,31,60,0
"zkbdt",5,NA,32,65,1
"rva9h",6,NA,25,68,0
"szq73",6,0.939999997615814,38,53,1
"dnj8x",2,5.82000017166138,35,68,1
"o6au9",6,NA,45,70,1
"azf0m",1,0.939999997615814,25,50,1
"ua98m",6,0.939999997615814,22,50,1
"lbzsj",9,3.88000011444092,40,65,1
"ce3rt",4,NA,30,50,1
"gvnvi",1,2.88000011444092,38,45,1
"qosdj",6,3.8199999332428,35,60,0
"ezq7y",6,NA,47,55,1
"u5kv7",2,6,50,60,1
"gigpe",8,1,30,60,1
"ygjnc",7,NA,27,45,0
"ftsoh",5,NA,60,85,1
"lgx1z",5,NA,52,70,0
"aaryg",7,NA,32,65,0
"nr65e",6,1.94000005722046,46,35,1
"xvy51",7,NA,39,55,1
"ohfr7",4,NA,21,45,0
"n09dz",4,NA,52,90,0
"vol0m",9,2.88000011444092,46,60,1
"erv2t",2,1.94000005722046,45,60,1
"v2m07",4,0.939999997615814,38,30,1
"vj3x5",8,1.94000005722046,40,75,1
"b0yrf",5,0.939999997615814,30,45,1
"kal41",4,NA,42,70,1
"j0ft2",4,NA,36,38,0
"or1oj",3,3.94000005722046,60,75,1
"u37ec",6,NA,55,50,0
"rnnm8",6,NA,33,50,1
"qkqh3",6,NA,26,50,1
"eqi3p",5,0.939999997615814,34,70,1
"w1t1v",4,3.88000011444092,40,56,1
"c7akk",3,NA,32,65,1
"uy7iz",4,4.94000005722046,42,90,1
"njm7o",11,6.82000017166138,40,58,1
"sxxzi",5,1.94000005722046,38,65,0
"njm7o",11,NA,33,58,1
"jzj1z",3,4.94000005722046,43,50,1
"q89oy",4,NA,45,70,0
"b4x63",5,0.939999997615814,30,48,1
"xkpgd",3,2.94000005722046,35,65,1
"p6afs",5,NA,31,62,1
"s6aj0",3,2.88000011444092,39,67,1
"jkyli",6,4.88000011444092,40,68,1
"myw0t",5,1.94000005722046,35,55,1
"f3f2l",3,3.94000005722046,40,80,1
"t7zex",3,1.87999999523163,35,50,1
"df903",6,4.88000011444092,47,65,1
"exj5h",6,NA,49,60,1
"k2w73",3,2.88000011444092,42,65,0
"ia2gq",6,NA,50,75,1
"xnhlz",2,3.94000005722046,40,56,1
"xvy51",7,1.94000005722046,35,55,1
"c5bey",6,1.94000005722046,40,70,1
"kipfs",6,NA,21,50,1
"bpz4g",6,6,48,82,0
"e1afl",2,0.939999997615814,35,60,1
"w9302",7,NA,23,50,1
"gtjig",6,5,51,75,1
"ysfg9",2,8.9399995803833,52,76,1
"ydfna",4,NA,42,50,1
"zkbdt",5,1,34,65,1
"mnsm2",3,NA,43,66,1
"ktgqz",5,NA,24,57,0
"mj2y5",3,1.94000005722046,35,55,0
"gyqtf",4,NA,35,47,1
"qkqh3",6,NA,25,50,1
"tihlt",6,NA,44,75,1
"jryvq",4,4,45,65,1
"kcygy",5,2.88000011444092,45,70,1
"lvp7e",6,NA,45,80,1
"tto72",3,NA,40,70,1
"p0m5x",5,7,55,75,1
"qw6be",2,2.94000005722046,35,35,1
"gas3p",5,2.94000005722046,32,52,1
"kgt90",6,NA,30,60,1
"jf49l",6,0.939999997615814,30,40,1
"i8dsr",3,2.94000005722046,37,60,1
"m8sfz",6,NA,40,68,1
"l5ust",8,NA,60,85,1
"v2m07",4,NA,40,30,1
"ixhx1",4,5.94000005722046,46,73,1
"sggv8",6,5.94000005722046,48,62,1
"wpm5s",7,NA,32,67,1
"pssfs",3,5.88000011444092,50,85,1
"zp0u5",7,NA,28,65,1
"qpdzb",4,NA,35,45,1
"p41e0",5,NA,45,65,0
"sxspa",6,3.88000011444092,39,55,1
"rva9h",6,NA,47,68,0
"bw2w1",3,NA,48,65,0
"ddwa6",6,NA,35,65,1
"s78mo",4,3,40,62,1
"mjcog",7,NA,22,55,1
"vpy9r",4,NA,45,70,0
"q582l",3,1.87999999523163,38,63,1
"kfkad",8,NA,43,42,1
"x67rf",7,NA,25,58,1
"mi40o",7,NA,20,60,1
"qosdj",6,NA,24,60,0
"ekxfx",7,3.88000011444092,43,75,0
"h84p6",7,NA,32,50,1
"vfycx",7,NA,26,65,0
"ix3z5",6,NA,34,60,1
"pags6",3,1,50,65,1
"kwf0d",2,2.88000011444092,35,40,1
"egz7f",4,0.939999997615814,32,45,1
"xgwzq",3,NA,25,55,1
"b3lin",4,NA,60,87,1
"scgi6",2,4,50,45,1
"qn372",2,2.94000005722046,32,54,1
"pls85",3,1.94000005722046,38,60,1
"x67rf",7,NA,38,58,1
"tihlt",6,0.939999997615814,38,75,1
"b4c4n",7,2.88000011444092,38,60,1
"kv5vn",7,NA,32,65,0
"v5eoh",7,1.94000005722046,32,58,1
"tyrzf",6,8.9399995803833,50,75,1
"i391a",7,NA,25,48,0
"d396z",2,NA,30,48,1
"h0p3a",2,NA,20,30,1
"ku56w",3,1.87999999523163,37,60,1
"lvp7e",6,3,48,80,1
"fyhc4",2,NA,51,60,1
"sf4ie",6,NA,27,50,1
"e07nx",3,1.94000005722046,35,35,1
"jogjn",5,NA,40,68,0
"up1lt",4,0.939999997615814,30,55,1
"azaaa",8,0.939999997615814,34,55,1
"nr1qf",5,NA,30,55,1
"swv2c",3,NA,34,32,1
"p0m5x",5,1.94000005722046,38,75,1
"w9302",7,NA,31,50,1
"xvy51",7,NA,43,55,1
"oxo34",3,2.94000005722046,40,35,1
"igwi6",5,NA,35,70,1
"hdpl4",9,NA,28,55,1
"vfycx",7,1.94000005722046,40,65,0
"b4x63",5,NA,23,48,1
"ytb1t",7,NA,45,90,0
"w234a",6,NA,26,65,1
"n0duo",6,NA,22,63,1
"om85m",2,NA,64,52,0
"xqnl2",5,NA,38,62,1
"f2hi1",5,NA,30,42,1
"uy7iz",4,4.94000005722046,55,90,1
"q582l",3,NA,34,63,1
"p47ai",7,1.87999999523163,35,60,1
"ki94a",6,NA,41,72,1
"ydfna",4,1.94000005722046,45,50,1
"i9lrt",6,NA,24,48,1
"miv5m",4,NA,40,35,1
"z7whd",6,NA,61,70,1
"doakl",7,1.87999999523163,32,65,0
"u4epy",4,2.94000005722046,35,62,1
"ubb4b",4,NA,33,60,1
"j4633",2,NA,60,60,1
"qosdj",6,NA,32,60,0
"kipfs",6,NA,23,50,1
"ezq7y",6,NA,40,55,1
"ki94a",6,NA,38,72,1
"e1afl",2,NA,32,60,1
"ilenx",5,0.939999997615814,25,65,1
"jryvq",4,3,43,65,1
"mav7c",10,NA,30,60,1
"vzs0j",8,0.939999997615814,38,56,0
"fmu28",4,1.94000005722046,35,40,1
"l039p",3,4.88000011444092,48,52,1
"apzl6",4,4.88000011444092,39,60,1
"exj5h",6,NA,49,60,1
"zwy7f",2,0.939999997615814,30,40,0
"o0ccx",5,0.939999997615814,35,46,1
"o01w2",3,NA,34,55,1
"mhpq6",1,0.939999997615814,36,40,1
"hbu4g",2,NA,35,70,1
"ou59e",8,NA,35,57,1
"kvmcx",5,4.88000011444092,35,55,1
"rhbt3",3,3.94000005722046,35,60,1
"hdpl4",9,NA,20,55,1
"yg55o",7,0.939999997615814,33,45,1
"i1e3j",3,2,45,72,1
"xvrf3",3,1.94000005722046,35,55,1
"cmc97",4,1.87999999523163,33,60,1
"zxq6v",4,1.87999999523163,33,49,1
"i9lrt",6,NA,26,48,1
"euo3p",5,4.94000005722046,44,38,0
"tlzcq",5,NA,30,65,0
"ilenx",5,1,40,65,1
"zzx1f",4,NA,39,75,1
"d396z",2,0.939999997615814,32,48,1
"cxkuc",3,NA,28,55,1
"jgjzf",7,2.88000011444092,42,60,1
"rfns3",6,2.94000005722046,35,75,1
"j0811",2,1.87999999523163,30,57,1
"azaaa",8,2.94000005722046,36,55,1
"b3ck6",4,0.939999997615814,37,45,1
"mi40o",7,6.82000017166138,40,60,1
"vikwk",4,2.88000011444092,36,50,1
"p991g",5,NA,34,55,1
"ukr8a",3,NA,28,60,1
