"wealth","wealthf","male","age","fid"
NA,NA,1,".","wpd36"
NA,NA,0,".","bt6kt"
NA,NA,1,".","xkfm8"
NA,NA,0,".","l18xh"
NA,NA,0,".","yj9f1"
NA,NA,1,".","c3hab"
0.5,0.5,0,"86","s3tfh"
0.150000005960464,0.400000005960464,1,"41","mmkc9"
0.100000001490116,NA,1,"106","zht6h"
0,NA,0,".","eve88"
0.0500000007450581,NA,1,"88","hflyx"
0,NA,1,"46","wxi1c"
0.300000011920929,NA,0,".","mro6v"
NA,NA,0,".","w4alk"
0.0500000007450581,NA,1,"40","hrykm"
NA,NA,0,".","f9ee9"
NA,NA,1,".","z3z6b"
0,NA,0,"31","aptqv"
1.25,NA,1,"81","i1sh2"
0.280000001192093,NA,0,".","ayhzf"
0.0500000007450581,NA,0,".","xwwzu"
NA,NA,1,".","gg4na"
0,0.800000011920929,0,"41","v1eue"
0,NA,0,".","gg4na"
NA,NA,1,".","f9ee9"
NA,NA,0,".","xkfm8"
0.25,NA,0,".","uei8r"
NA,NA,1,".","iie6d"
0.200000002980232,NA,1,"48","zv2hk"
0,NA,1,"34","hnacm"
0.300000011920929,NA,1,"61","xkfm8"
0,NA,1,"106","jciz0"
0,NA,1,"37","b2wu6"
0,NA,1,"54","dvezc"
NA,NA,0,".","gg4na"
0.379999995231628,NA,0,".","c4078"
NA,NA,0,".","mlgzl"
0.0500000007450581,NA,1,"49","znu3y"
0.0500000007450581,NA,0,".","ydjfm"
0.100000001490116,NA,0,".","wdv99"
NA,0.25,0,"94","mvgf2"
0,0.0500000007450581,1,"31","m8gks"
0,0.200000002980232,1,"30","xl9t1"
0.5,NA,0,".","qqbnf"
NA,NA,0,".","gqd5q"
NA,NA,0,".","xkfm8"
0.25,NA,1,"126","ui1u7"
0,NA,1,"70","mvxrq"
0.25,NA,0,"36","bt6kt"
NA,NA,0,".","odw9k"
0,NA,0,"33","ssyz1"
0,NA,0,".","ohlpv"
0,NA,0,".","rpyy1"
NA,0.0500000007450581,1,"87","h4467"
0.5,0,1,"92","wdv99"
NA,NA,0,".","wcowm"
0.600000023841858,NA,1,"61","yd7aj"
0.100000001490116,NA,1,"101","py7ea"
0.5,NA,0,"68","y10ou"
0.180000007152557,NA,0,".","siax6"
NA,0.25,0,"99","cu22f"
