"fid","mid","kcal","kcalm","kcalf","sex","age","agem","agef"
"v84tz","ak0mn",NA,NA,NA,1,NA,42,47
"xuwsm","z0fx1",NA,369.50537109375,5289.39501953125,2,NA,21.5,28
NA,NA,NA,NA,NA,1,NA,NA,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,1,NA,21.5,23.5
"nnfo6","y5qe0",NA,NA,NA,2,NA,43,45
"ubzm9","fmlt8",NA,NA,NA,2,NA,NA,NA
NA,"bsf9s",NA,664.677429199219,NA,2,NA,13,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"krz6v",NA,NA,NA,1,NA,75,NA
NA,"ii1qm",NA,NA,NA,2,NA,NA,NA
"bxfrh","r42e3",4171.05908203125,NA,NA,2,67,NA,NA
NA,"k6360",NA,NA,NA,2,NA,13,NA
"cz42b","pqerq",NA,4949.20556640625,2606.29223632812,2,NA,25,25
NA,NA,0,NA,NA,NA,1,NA,NA
"llexh","b96dy",NA,NA,NA,2,NA,15,25
"gg2jx","oh3sx",NA,NA,NA,1,NA,NA,NA
"exlsl","q04di",NA,NA,NA,2,NA,57,61
NA,"xqw4s",NA,NA,NA,2,NA,11,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"dlhz5","k7f1n",NA,NA,NA,1,NA,32,32
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,1,NA,21.5,23.5
"ks0ic",NA,NA,NA,NA,2,NA,NA,68
NA,"zj5sw",NA,NA,NA,1,NA,56,NA
"s41gq","v67ej",NA,NA,NA,1,NA,34,49
"uk5v6","l7e22",NA,NA,NA,2,NA,32,35
"bus6f","a0kwx",NA,NA,NA,1,NA,12,22
NA,"rg01e",NA,NA,NA,2,NA,NA,NA
NA,"k7f1n",NA,NA,NA,2,NA,32,NA
"dvb3a","iax7l",NA,NA,NA,1,NA,47,56
NA,NA,NA,NA,NA,NA,NA,NA,NA
