"age","agem","rs","rsm","mid"
32,48,NA,5,"gcc7s"
26,70,NA,4,"jpgsz"
28,50,1.94000005722046,10,"x41ja"
37,66,NA,4,"m70cm"
21,54,NA,4,"ypydn"
48,65,NA,8,"fn6n5"
35,44,NA,5,"m36tj"
34,55,NA,10,"ngtae"
18,50,NA,12,"pwhmy"
25,48,2.91000008583069,3,"rsev1"
12,37,NA,5,"ksfpk"
20,50,NA,12,"pwhmy"
37,44,4.96999979019165,7,"eyenk"
20,40,1.94000005722046,8,"ku8qo"
19,50,NA,9,"dqhss"
24,65,NA,7,"kyjqz"
33,58,NA,7,"rnwry"
28,55,2.97000002861023,9,"o80eg"
44,80,NA,5,"msiya"
42,40,NA,3,"dyq1x"
17,60,NA,9,"wfeiv"
18,48,NA,9,"cdme4"
27,42,4.94000005722046,4,"by9xq"
40,57,6,4,"f4uci"
29,50,3.94000005722046,3,"ejv12"
34,56,4.94000005722046,8,"yw5xv"
12,45,NA,8,"pkiue"
26,50,NA,7,"l073x"
24,45,0.970000028610229,7,"v8opa"
38,35,4.96999979019165,2,"zx1q4"
27,50,NA,8,"kg73z"
21,42,NA,3,"emu5y"
46,70,10,4,"jsj7y"
27,64,2.97000002861023,4,"qc23b"
23,48,NA,8,"ygx40"
30,50,2,5,"oyul1"
14,60,NA,7,"wlg1o"
17,40,NA,6,"a3bht"
35,60,4.96999979019165,7,"e68bt"
20,55,NA,10,"bgwy5"
37,70,4.94000005722046,7,"w0n5m"
40,62,9.9399995803833,4,"ifyb9"
51,65,NA,5,"mexw8"
26,45,2.97000002861023,8,"pkiue"
46,80,7.96999979019165,4,"q3vc2"
35,35,NA,2,"zx1q4"
18,55,NA,10,"bgwy5"
65,70,NA,7,"sg3tg"
15,68,NA,10,"e5p8j"
21,53,NA,10,"y11gv"
25,50,2.94000005722046,5,"vhylr"
28,70,NA,9,"kdmez"
25,50,NA,5,"soj4c"
21,45,0.970000028610229,8,"aws1q"
25,86,NA,9,"xlgcy"
22,50,NA,12,"pwhmy"
32,70,NA,9,"kdmez"
35,75,5.96999979019165,10,"xxdzw"
45,60,NA,7,"xvkng"
25,66,1.94000005722046,2,"zsb7s"
17,53,NA,3,"h7z9c"
17,35,NA,5,"zgsuy"
38,55,NA,8,"wd0fu"
52,55,NA,8,"ewoiz"
42,65,2.97000002861023,3,"tupu6"
32,75,NA,7,"w8lmp"
30,30,NA,4,"orm1g"
22,60,NA,8,"m7v35"
40,86,3,6,"b3pzu"
31,55,5.94000005722046,7,"rnqvr"
