"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"h27ok",1,14,NA,NA,NA,NA,"qfdbf",79,0,20,45,23,FALSE
"vtd6s",1,55,2,30,17,12,"hrjso",93,2,70,150,25,FALSE
"g185a",0,53,NA,NA,NA,NA,"zwhg5",83,0,20,20,14,FALSE
"yt9va",0,29,NA,NA,NA,NA,"ovmsp",84,3,70,90,24,FALSE
"otv7f",1,92,3,75,100,29,NA,NA,NA,NA,NA,NA,TRUE
"d5v1h",1,34,NA,8,10,5,NA,NA,NA,NA,NA,NA,FALSE
"plsrx",1,44,NA,9,7,6,NA,NA,NA,NA,NA,NA,FALSE
"b3xmy",0,46,1,10,8,8,"qfdbf",79,0,20,45,23,FALSE
"c84cd",1,42,0,11,7,11,"l3mau",92,3,75,100,29,FALSE
"gnc6m",0,51,NA,6,2,5,"hrjso",93,2,70,150,25,FALSE
"nsebo",1,38,1,10,13,14,"dd17q",68,3,125,160,26,FALSE
"enama",1,61,1,15,17,21,"r6jmd",84,4,150,300,41,FALSE
"rqpzu",0,21,NA,NA,NA,NA,"osgzw",66,1,40,25,10,FALSE
"xl5cw",1,45,NA,9,3,10,"zwhg5",83,0,20,20,14,FALSE
"jhlq1",0,30,1,10,10,3,"ovmsp",84,3,70,90,24,FALSE
"va8mp",0,76,NA,8,4,4,NA,NA,NA,NA,NA,NA,TRUE
"aljju",1,58,2,45,52,14,NA,NA,NA,NA,NA,NA,TRUE
"r3lfn",1,35,NA,6,8,5,"osgzw",66,1,40,25,10,FALSE
"tqfab",1,93,2,70,150,25,NA,NA,NA,NA,NA,NA,TRUE
"hviql",0,35,NA,4,4,6,"dd17q",68,3,125,160,26,FALSE
"kbblt",1,46,NA,9,3,2,"zwhg5",83,0,20,20,14,FALSE
"gjuv0",1,45,2,12,4,8,NA,NA,NA,NA,NA,NA,FALSE
"mt2sd",0,53,NA,2,8,7,"d55cc",85,3,110,100,32,FALSE
"vyxke",1,38,NA,8,7,5,NA,NA,NA,NA,NA,NA,FALSE
"vt8xf",1,36,0,17,6,7,NA,NA,NA,NA,NA,NA,FALSE
"wkztt",0,43,NA,4,14,7,"qfdbf",79,0,20,45,23,FALSE
"h8vtx",1,48,1,45,40,14,NA,NA,NA,NA,NA,NA,FALSE
"lnxvs",1,54,NA,30,7,12,NA,NA,NA,NA,NA,NA,FALSE
"su1nr",1,46,1,6,5,8,"hvi12",87,2,60,45,21,FALSE
"z9ybr",0,33,NA,8,4,4,"ovmsp",84,3,70,90,24,FALSE
"jefrx",1,34,NA,2,4,4,"c7ouq",79,1,30,32,20,FALSE
"v8hew",0,74,0,5,7,9,NA,NA,NA,NA,NA,NA,FALSE
"ln3v7",0,71,NA,0,4,2,NA,NA,NA,NA,NA,NA,TRUE
"bdood",0,32,NA,8,6,3,"ydecv",75,3,100,50,17,FALSE
"w25pc",0,35,1,14,10,3,"mqo0i",90,2,110,160,31,FALSE
"nr17w",1,58,1,11,5,8,"hvi12",87,2,60,45,21,FALSE
"tvd3v",1,84,4,150,300,41,NA,NA,NA,NA,NA,NA,TRUE
"p5j8x",0,35,1,10,12,5,"ydecv",75,3,100,50,17,FALSE
"ttiho",1,47,NA,4,4,14,"c7ouq",79,1,30,32,20,FALSE
"v8ozh",0,39,NA,10,18,6,"eq2zq",73,0,10,15,11,FALSE
"i15e3",0,54,1,10,20,11,"imv14",76,1,45,20,9,FALSE
"d3b3c",1,50,2,30,17,7,"r6jmd",84,4,150,300,41,FALSE
"x526c",0,46,NA,12,20,8,"imv14",76,1,45,20,9,FALSE
"fj18u",1,41,NA,1,2,5,"lil7t",90,1,12,20,23,FALSE
"a734f",0,28,NA,NA,NA,NA,"d55cc",85,3,110,100,32,FALSE
"jpdou",0,46,1,14,12,7,"hrjso",93,2,70,150,25,FALSE
"z5i5x",0,81,NA,1,2,6,NA,NA,NA,NA,NA,NA,TRUE
"ubmec",1,50,NA,10,3,9,"zwhg5",83,0,20,20,14,FALSE
"a720f",1,48,2,65,11,13,"ydecv",75,3,100,50,17,FALSE
"d0f4b",1,11,NA,NA,NA,NA,"ovmsp",84,3,70,90,24,FALSE
"c7ijd",1,45,NA,1,2,8,"qfdbf",79,0,20,45,23,FALSE
"ru56f",1,35,NA,10,13,4,"dd17q",68,3,125,160,26,FALSE
"czgf1",1,36,NA,8,4,7,NA,NA,NA,NA,NA,NA,FALSE
"l49ak",0,54,NA,NA,NA,NA,"hrjso",93,2,70,150,25,FALSE
"rad9g",1,55,NA,10,10,9,NA,NA,NA,NA,NA,NA,FALSE
