"age","male","livestock","agef","livestockf","fid"
32,0,8,75,100,151
46,0,10,73,35,770
45,0,16,68,125,292
33,1,10,NA,NA,NA
33,1,15,75,100,151
17,1,NA,80,60,424
63,1,90,NA,NA,NA
33,1,15,72,25,154
45,1,9,84,70,134
54,0,NA,93,70,298
51,0,6,93,70,298
41,1,7,79,30,114
42,0,7,NA,NA,NA
13,0,NA,90,110,762
39,1,5,79,30,114
20,0,NA,79,30,114
28,0,NA,85,110,432
43,0,11,NA,NA,NA
46,0,14,93,70,298
45,0,NA,93,70,298
33,1,9,NA,NA,NA
67,1,20,93,70,298
38,1,2,85,55,331
34,0,10,73,95,212
35,1,10,71,35,267
68,0,6,NA,NA,NA
40,0,6,93,70,298
21,0,NA,84,150,144
27,0,NA,73,10,921
33,1,1,90,12,155
84,1,70,NA,NA,NA
23,0,NA,79,30,114
31,0,16,84,150,144
77,1,35,NA,NA,NA
31,1,NA,74,30,378
56,1,13,76,45,222
34,1,4,90,110,762
40,1,15,68,125,292
75,0,9,NA,NA,NA
51,1,2,78,45,473
31,0,6,NA,NA,NA
32,1,7,85,55,331
39,0,11,NA,NA,NA
46,0,4,75,100,151
33,1,15,NA,NA,NA
43,1,12,NA,NA,NA
47,1,4,85,55,331
34,0,4,NA,NA,NA
39,1,10,NA,NA,NA
37,0,11,NA,NA,NA
50,1,10,80,60,424
45,1,6,77,35,332
40,0,4,72,25,154
33,1,6,78,45,473
28,0,NA,79,30,114
33,0,8,84,70,134
31,1,17,72,25,154
45,1,1,79,20,444
37,0,10,92,75,882
63,1,85,NA,NA,NA
63,1,35,NA,NA,NA
46,1,9,83,20,250
31,0,14,84,150,144
32,0,6,72,25,154
58,0,14,85,110,432
56,0,10,92,75,882
61,1,16,92,75,882
23,1,NA,87,60,112
76,1,45,NA,NA,NA
44,1,9,NA,NA,NA
61,1,47,NA,NA,NA
64,0,5,NA,NA,NA
80,0,3,NA,NA,NA
58,1,11,87,60,112
34,0,12,73,95,212
35,0,9,NA,NA,NA
79,1,20,NA,NA,NA
35,1,12,NA,NA,NA
55,1,1,84,70,134
21,0,NA,66,40,198
53,1,40,NA,NA,NA
42,1,11,92,75,882
21,0,NA,79,20,444
35,1,30,75,100,151
39,0,4,85,55,331
36,0,20,84,150,144
27,0,NA,90,110,762
71,0,0,NA,NA,NA
37,1,3,71,35,267
52,1,20,84,150,144
45,1,7,NA,NA,NA
63,1,15,90,110,762
37,0,4,90,110,762
