"male","age","RS","agef","RSf","RSma","RSmidpointf","fid"
1,36,6,NA,NA,NA,NA,NA
1,38,7,73,22,6.67999982833862,14.5,770
0,34,5,75,17,4.67999982833862,10,151
1,31,3,73,12,2.83999991416931,8,212
0,26,NA,87,21,NA,NA,112
1,33,7,NA,NA,NA,NA,NA
1,81,26,NA,NA,NA,NA,NA
0,37,5,74,13,5,8,378
1,40,5,85,32,4.84000015258789,20,432
0,57,7,NA,NA,NA,NA,NA
0,13,NA,90,31,NA,NA,762
0,27,NA,79,23,NA,NA,444
0,45,3,78,16,3,10.5,473
0,36,5,78,16,4.84000015258789,10.5,473
0,37,8,90,31,7.51999998092651,19.5,762
0,50,NA,92,29,NA,NA,882
0,47,2,73,11,2,8,921
0,18,NA,75,17,NA,NA,151
0,36,6,87,21,5.84000015258789,14.5,112
0,20,NA,79,20,NA,NA,114
0,66,6,NA,NA,NA,NA,NA
0,30,2,73,12,2,7.5,212
1,56,3,76,9,3,5.5,222
1,44,5,71,24,4.51999998092651,16,267
1,31,3,72,6,2.83999991416931,6,154
0,33,6,78,16,5.67999982833862,10.5,473
0,39,NA,87,21,NA,NA,112
1,33,10,NA,NA,NA,NA,NA
1,46,10,NA,NA,NA,NA,NA
1,42,5,73,22,4.67999982833862,14.5,770
1,33,8,NA,NA,NA,NA,NA
0,35,7,NA,NA,NA,NA,NA
0,68,7,NA,NA,NA,NA,NA
1,63,24,NA,NA,NA,NA,NA
0,27,NA,71,24,NA,NA,267
0,33,5,73,22,4.67999982833862,14.5,770
1,34,9,NA,NA,NA,NA,NA
1,66,10,NA,NA,NA,NA,NA
0,20,NA,68,26,NA,NA,292
1,73,22,NA,NA,NA,NA,NA
1,47,4,NA,NA,NA,NA,NA
1,64,3,93,25,3,15.5,298
1,35,6,NA,NA,NA,NA,NA
1,63,20,90,31,19.2199993133545,21.5,762
1,48,14,NA,NA,NA,NA,NA
0,36,4,66,10,3.83999991416931,7.5,198
1,50,9,83,14,6.84000015258789,10.5,250
0,35,4,79,23,4,15.5,444
0,63,NA,93,25,NA,NA,298
1,32,2,66,10,1.8400000333786,7.5,198
0,43,7,79,23,6.84000015258789,16,444
