"sex","land","kuniony","landf","uniony","idu"
2,9.5,"1755",8.5,1725,"LP0204"
1,0,"1771",0,1735,"PI1199"
2,79.5,"1772",154,1735,"EI1504"
2,0,"1768",3,1743,"PE1671"
1,9,"1776",0,1734,"GS1483"
2,0,"1759",65,1732,"UP0379"
2,0,"1813",81.5,1780,"PI1999"
2,42.5,"1790",74,1767,"GS0396"
2,0,"1752",0,1726,"UP1216"
2,193,"1788",110,1749,"EI1638"
2,99.5,"1763",100,1734,"PI2373"
1,0,"1827",0,1785,"PI0498"
2,0,"1835",14,1792,"GS0012"
2,0,"1791",0,1759,"PI0346"
1,0,"1783",0,1751,"UP0075"
1,0,"1756",0,1726,"GH1437"
1,0,"1849",3,1818,"GS0046"
2,53,"1767",53,1746,"LP0142"
2,69.5,"1812",156.800003051758,1781,"CH0022"
1,0,"1762",0,1734,"PE1664"
1,0,"1806",0,1776,"GH1448"
1,0,"1801",0,1768,"UP0468"
1,0,"1797",0,1764,"GH0333"
1,0,"1763",0,1739,"GS1543"
2,72,"1776",128,1746,"GI0346"
1,123.75,"1810",0,1778,"GH1162"
2,14.5,"1812",18,1790,"EI1458"
2,80,"1804",85,1780,"PI0689"
1,0,"1765",40,1741,"GS0624"
1,0,"1803",5,1776,"UT1121"
2,60,"1815",90,1791,"EI0278"
2,0,"1824",0,1798,"VI0740"
2,127,"1791",51.5,1753,"GI1766"
1,0,"1817",0,1785,"UP0033"
1,0,"1783",0,1748,"EI1152"
2,0,"1803",0,1772,"HW0356"
1,0,"1730",0,1694,"GH1639"
2,40,"1860",270,1829,"PI2140"
2,140,"1782",114.5,1751,"PI0776"
2,0,"1759",0,1729,"PI1041"
1,0,"1835",4.5,1792,"FR0139"
2,123,"1809",90,1767,"WO0015"
1,0,"1808",11,1769,"GH1027"
2,0,"1808",0,1779,"PI2371"
2,0,"1800",0,1770,"GS0147"
1,0,"1807",6,1777,"GS2563"
1,0,"1798",0,1771,"HW0949"
1,0,"1802",0,1759,"PI0364"
2,0,"1779",0,1743,"GS2805"
2,116.5,"1801",144,1769,"CN0142"
1,0,"1758",0,1714,"GS2867"
2,0,"1807",0,1782,"PI0660"
1,138,"1797",243,1756,"HW0186"
1,4,"1780",33,1741,"CN0020"
2,0,"1870",0,1813,"GS1257"
2,142.5,"1781",37,1747,"GS0518"
1,83.5,"1791",74.5,1753,"FR0205"
2,6.5,"1749",144,1727,"PI1282"
1,125.5,"1782",85,1737,"VI0685"
1,0,"1768",15,1732,"GH0320"
1,0,"NA",0,1765,"PI1025"
1,0,"1761",204,1731,"GH0406"
1,0,"1742",0,1710,"GS2589"
2,0,"1803",18,1759,"PI0358"
1,0,"1779",0,1742,"GS2350"
1,0,"1779",0,1744,"GH1813"
1,127.5,"1761",133,1735,"UT1882"
2,158,"1790",175,1751,"CI0609"
1,31,"1829",0,1778,"GH1162"
2,0,"1771",0,1745,"JE0892"
2,0,"1802",0,1774,"HW0061"
2,0,"1773",0,1745,"JE0892"
1,129,"1854",82,1789,"UT0840"
2,3,"1863",0,1831,"GS2480"
2,0,"1830",0,1798,"GS0908"
2,21,"1775",21,1742,"UT1383"
2,5,"NA",7.5,1778,"PI1800"
1,141,"1773",149.5,1738,"PI0914"
2,0,"1731",0,1694,"GH1639"
1,0,"1858",0,1823,"LP0680"
2,0,"1825",0,1801,"WO0392"
1,0,"1806",0,1768,"VI1176"
2,0,"1842",0,1804,"GS1526"
1,0,"1807",0,1777,"PI2178"
1,19,"1808",9,1769,"EI1597"
1,5.5,"1771",4,1726,"PI0605"
1,11,"1778",0,1740,"EI0548"
2,0,"1767",0,1739,"GI0406"
2,0,"1784",0,1757,"VI0901"
2,58.75,"1759",179.75,1734,"GI1225"
2,25,"1831",14,1784,"UT1026"
2,12,"1822",0,1794,"GH0631"
2,0,"1756",0,1733,"PI2341"
2,0,"1779",0,1730,"GI1844"
2,0,"1786",0,1758,"EI1689"
1,0,"1775",0,1754,"PI0345"
1,20,"1811",196,1764,"GH0352"
2,0,"1765",3.29999995231628,1742,"GS2139"
2,0,"1816",0,1785,"CN0189"
1,5,"1800",0,1771,"PI2208"
1,0,"1800",0,1771,"GS1975"
2,0,"1869",0,1831,"CN0452"
2,9,"1778",17,1748,"CN0691"
2,3,"1833",106,1811,"HW0618"
2,0,"1842",13,1813,"LP0802"
2,35,"1817",11,1774,"GS2250"
2,0,"1797",0,1762,"PI2181"
1,0,"1804",4,1766,"HW0462"
1,0,"1776",0,1753,"GS1313"
2,0,"1788",0,1761,"UP1172"
2,33,"1774",3,1754,"PI0059"
1,0,"1861",7.5,1822,"LP0793"
1,3,"1827",16,1795,"HW0881"
2,0,"1796",0,1760,"HW0155"
