"male","outdegp","indegp","indeg","outdeg","age","agetodayf","agetodaym","ageatdeathf","ageatdeathm","fid","mid"
1,NA,NA,9,14,59.4799995422363,NA,NA,NA,NA,NA,NA
0,NA,NA,12,13,59.0699996948242,NA,NA,NA,NA,NA,NA
1,NA,NA,11,2,75.2399978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,9,14,52.439998626709,NA,NA,NA,NA,NA,NA
1,NA,NA,11,12,66.4899978637695,NA,NA,NA,NA,NA,NA
0,NA,NA,13,18,31.1299991607666,NA,NA,NA,NA,NA,NA
1,NA,NA,6,2,46.0499992370605,NA,NA,NA,NA,NA,NA
1,NA,NA,11,9,64.2300033569336,NA,NA,NA,NA,NA,NA
0,NA,NA,10,14,23.3700008392334,NA,NA,NA,NA,NA,NA
0,1,9,8,11,50.5699996948242,75.0699996948242,81.620002746582,71,NA,"lnkmq","rhexx"
1,12,10,10,4,33.1599998474121,67.7699966430664,61.3899993896484,NA,NA,"t634i","i7igx"
1,NA,NA,9,13,64.6100006103516,NA,NA,NA,NA,NA,NA
1,NA,NA,6,8,60.7000007629395,NA,NA,NA,NA,NA,NA
1,NA,NA,16,18,63.2099990844727,NA,NA,NA,NA,NA,NA
1,NA,NA,15,19,49.4199981689453,NA,NA,NA,NA,NA,NA
1,NA,NA,6,8,69.9899978637695,NA,NA,NA,NA,NA,NA
0,17,12,6,2,44.3199996948242,66.6500015258789,65.6800003051758,NA,NA,"dacdl","ezehb"
0,NA,NA,4,0,40.5200004577637,NA,NA,NA,NA,NA,NA
1,12,14,5,9,24.1800003051758,64.9199981689453,50.3400001525879,NA,NA,"g7qmh","n3f7e"
0,NA,NA,5,0,50.0200004577637,NA,NA,NA,NA,NA,NA
1,NA,NA,4,7,70,NA,NA,NA,NA,NA,NA
0,17,19,11,15,38.1399993896484,64.5699996948242,61.1199989318848,NA,NA,"ckc0g","vyrpd"
0,13,9,10,13,39.0099983215332,64.6100006103516,68.1999969482422,NA,NA,"r9uqr","zejzm"
0,NA,NA,9,12,52.5699996948242,NA,NA,NA,NA,NA,NA
1,NA,NA,8,9,56.4799995422363,NA,NA,NA,NA,NA,NA
1,NA,NA,10,17,47.2099990844727,NA,NA,NA,NA,NA,NA
1,NA,NA,12,13,54.1500015258789,NA,NA,NA,NA,NA,NA
1,19,15,6,8,24.1800003051758,49.4199981689453,52.5800018310547,NA,49,"d3kq5","dqsaa"
0,6,7,11,11,33.1300010681152,66.4000015258789,70.1100006103516,42.2000007629395,NA,"mu69a","jwv6m"
0,1,9,7,2,55.310001373291,75.0699996948242,81.620002746582,71,NA,"lnkmq","rhexx"
1,NA,NA,6,0,58.4799995422363,NA,NA,NA,NA,NA,NA
1,0,5,4,4,36.0099983215332,NA,66.879997253418,NA,NA,"h0nty","roeah"
1,11,9,11,15,38.2799987792969,68.9400024414062,72.7600021362305,NA,NA,"n1mcb","yfec1"
0,NA,NA,16,0,43.1699981689453,NA,NA,NA,NA,NA,NA
0,7,8,6,7,41.6800003051758,80.5999984741211,81.4000015258789,NA,67.2300033569336,"ardr6","u98ks"
0,NA,NA,13,14,52.8600006103516,NA,NA,NA,NA,NA,NA
0,5,12,13,9,33.8199996948242,62.5800018310547,58.9700012207031,NA,NA,"xpf6g","nxjx0"
1,NA,NA,9,12,59.9799995422363,NA,NA,NA,NA,NA,NA
0,NA,NA,9,5,34.4900016784668,NA,NA,NA,NA,NA,NA
0,20,13,12,15,39.1500015258789,80.2900009155273,78.1699981689453,46.0800018310547,NA,"iudc5","aqke1"
0,NA,NA,9,1,56.0699996948242,NA,NA,NA,NA,NA,NA
0,NA,NA,7,0,52.4199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,11,10,21.6200008392334,NA,NA,NA,NA,NA,NA
0,0,6,9,12,29.7299995422363,83.6500015258789,69.879997253418,83.4899978637695,NA,"kemfh","t2t1p"
