"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp","hh"
"yb1m5",1,84,1,NA,NA,NA,NA,NA,NA,NA,520
"yiou1",0,53.9099998474121,5,NA,NA,NA,NA,NA,NA,NA,2618
"q0wae",0,44.3300018310547,4,NA,NA,NA,NA,NA,NA,NA,608
"ov6in",0,80.1900024414062,6,NA,NA,NA,NA,NA,NA,NA,627
"hpj1c",0,42.1699981689453,4,NA,NA,NA,NA,NA,NA,NA,4507
"iehsu",0,59.4599990844727,2,NA,NA,NA,NA,NA,NA,NA,509
"zlccr",0,66.6900024414062,5,NA,NA,NA,NA,NA,NA,NA,3714
"uoyo1",1,38.1699981689453,4,"w5r3i",66.120002746582,NA,"axpvj",66.6399993896484,NA,5,3839
"neewt",0,27.2299995422363,3,"fydko",52.9700012207031,31.5599994659424,"ec4p1",61.9199981689453,NA,4,524
"p15sn",0,50.0200004577637,1,NA,NA,NA,NA,NA,NA,NA,1635
"gp763",1,57.7000007629395,4,NA,NA,NA,NA,NA,NA,NA,604
"lxrxk",0,57.5,5,NA,NA,NA,NA,NA,NA,NA,614
"dil05",0,51.0400009155273,3,"w8tdk",75.2900009155273,NA,"dncl6",70.7799987792969,42.4599990844727,2,1621
"o8ci9",0,41.2299995422363,3,NA,NA,NA,NA,NA,NA,NA,502
"g1rft",1,64.2799987792969,3,NA,NA,NA,NA,NA,NA,NA,508
"fccyd",1,62.8699989318848,5,NA,NA,NA,NA,NA,NA,NA,2508
"iy0ad",1,65.3399963378906,4,NA,NA,NA,NA,NA,NA,NA,1502
"e2sty",1,86.4899978637695,1,NA,NA,NA,NA,NA,NA,NA,3802
"nwand",1,54.3199996948242,2,"y9kab",84,40,"jt7ni",80.5999984741211,NA,1,4520
"c0sl6",1,66.4199981689453,7,NA,NA,NA,NA,NA,NA,NA,2523
"dplkz",0,59.1599998474121,5,NA,NA,NA,NA,NA,NA,NA,606
"va5h0",0,33.9900016784668,4,NA,NA,NA,NA,NA,NA,NA,1521
"l9s83",1,74.6100006103516,5,NA,NA,NA,NA,NA,NA,NA,4606
"pbfuy",0,36.9900016784668,3,NA,NA,NA,NA,NA,NA,NA,2631
"icczf",1,41.9000015258789,3,NA,NA,NA,NA,NA,NA,NA,4815
"z3s7f",0,67.879997253418,6,NA,NA,NA,NA,NA,NA,NA,2524
"ao7r2",1,52.7000007629395,5,NA,NA,NA,NA,NA,NA,NA,2612
"pdz0p",0,63.1100006103516,6,NA,NA,NA,NA,NA,NA,NA,4702
"yw282",0,50.9300003051758,7,NA,NA,NA,NA,NA,NA,NA,4706
"uwp52",1,60.3300018310547,3,NA,NA,NA,NA,NA,NA,NA,4807
"vjk7o",1,63.2099990844727,4,NA,NA,NA,NA,NA,NA,NA,3805
"vr0o4",1,60.7000007629395,5,NA,NA,NA,NA,NA,NA,NA,3617
"f27yx",0,29.4899997711182,4,"eaaza",66.0400009155273,NA,"yl7wc",59.9799995422363,NA,6,4725
"kwd8o",1,36.7400016784668,4,"pbzfr",81.620002746582,NA,"tc3c3",75.0699996948242,71,8,1518
"xtavt",0,59.6599998474121,4,NA,NA,NA,NA,NA,NA,NA,3721
"c4zoh",1,67.7699966430664,1,NA,NA,NA,NA,NA,NA,NA,2609
"kd0pc",1,67.7200012207031,6,NA,NA,NA,NA,NA,NA,NA,3712
"k1mkl",0,36.7299995422363,3,NA,NA,NA,NA,NA,NA,NA,519
"vxmax",0,50.0400009155273,4,NA,NA,NA,NA,NA,NA,NA,611
"gex1p",0,68.1999969482422,6,NA,NA,NA,NA,NA,NA,NA,1607
"t7ncg",0,70.2200012207031,5,NA,NA,NA,NA,NA,NA,NA,618
"w8art",0,43.1699981689453,4,NA,NA,NA,NA,NA,NA,NA,1618
"um38b",0,39.9900016784668,1,"pdz0p",63.1100006103516,NA,"jq736",63.2599983215332,NA,6,2637
"tbb1p",1,86.3000030517578,6,NA,NA,NA,NA,NA,NA,NA,3620
"c2r0r",0,34.1100006103516,4,"vrh85",66.4700012207031,NA,"hpa2c",63.3400001525879,NA,5,2625
"q6nkj",1,46.3800010681152,3,"c3iwv",82.4000015258789,NA,"es2sc",75.8000030517578,NA,5,3929
"ibpmb",0,33.8199996948242,8,"uxzay",58.9700012207031,NA,"yqisi",62.5800018310547,NA,5,4726
"eaaza",0,66.0400009155273,6,NA,NA,NA,NA,NA,NA,NA,2616
"sxcq7",0,76.629997253418,4,NA,NA,NA,NA,NA,NA,NA,4818
"yvv16",0,79.0100021362305,5,NA,NA,NA,NA,NA,NA,NA,4801
"wlpvr",0,38.1399993896484,3,"jvvb2",61.1199989318848,NA,"x51qr",64.5699996948242,NA,3,504
"m8m39",1,37.8400001525879,4,"mf5ri",63.5099983215332,NA,"nm07y",62.5400009155273,55.0400009155273,1,3706
"mzgtx",1,66.0100021362305,6,NA,NA,NA,NA,NA,NA,NA,506
"nh3xl",1,45.3899993896484,6,NA,NA,NA,NA,NA,NA,NA,3614
"spe1t",0,46.4000015258789,5,NA,NA,NA,NA,NA,NA,NA,1610
"fvbzt",0,61.3899993896484,1,NA,NA,NA,NA,NA,NA,NA,2609
"gcs8t",0,44.7700004577637,5,NA,NA,NA,NA,NA,NA,NA,3707
"dx3q5",0,65.6800003051758,7,NA,NA,NA,NA,NA,NA,NA,619
"li61n",0,52.8600006103516,5,NA,NA,NA,NA,NA,NA,NA,2612
"ni823",0,50.3400001525879,4,NA,NA,NA,NA,NA,NA,NA,1501
"ltwin",0,68.4100036621094,4,NA,NA,NA,NA,NA,NA,NA,1505
"wqkqv",1,27.6499996185303,2,"fvbzt",61.3899993896484,NA,"c4zoh",67.7699966430664,NA,1,2636
"ysjlf",0,61.9300003051758,5,NA,NA,NA,NA,NA,NA,NA,3510
"worfa",0,65.4199981689453,7,NA,NA,NA,NA,NA,NA,NA,3813
"chfnz",0,31.8799991607666,3,"e9pwb",62.2099990844727,NA,"pvd0g",57.9900016784668,NA,5,4723
"y10ka",1,29.3899993896484,1,"agc8u",61.0299987792969,NA,"rjfa4",58.5400009155273,NA,5,1633
"wmozj",1,41.0099983215332,2,"fmftw",65.9599990844727,NA,"ul4ot",87.75,81.9199981689453,1,503
"io71l",0,41.6500015258789,5,"dx3q5",65.6800003051758,NA,"fkcnn",66.6500015258789,NA,7,3840
"x5xx8",1,74.3899993896484,4,NA,NA,NA,NA,NA,NA,NA,4518
"gpdep",1,36.7900009155273,8,NA,NA,NA,NA,NA,NA,NA,4726
"fpmyd",1,30.9200000762939,2,"vqudt",60.0900001525879,NA,"tvpfg",72.9300003051758,NA,4,1636
"sdbey",0,81.129997253418,4,NA,NA,NA,NA,NA,NA,NA,4502
"qwllb",0,50.5999984741211,5,NA,NA,NA,NA,NA,NA,NA,3613
"jy83r",1,54.1500015258789,1,NA,NA,NA,NA,NA,NA,NA,4704
"scqbo",0,33.6500015258789,5,"kadub",69.1999969482422,NA,"e7rlh",63.7099990844727,NA,4,1520
"jf5vu",1,63.6100006103516,8,NA,NA,NA,NA,NA,NA,NA,4711
"db7a5",0,28.3500003814697,3,NA,NA,NA,NA,NA,NA,NA,3942
"d2dlr",1,38.2799987792969,3,"pbvwy",72.7600021362305,NA,"epe6g",68.9400024414062,NA,2,504
"eb1px",0,67.3099975585938,4,NA,NA,NA,NA,NA,NA,NA,3805
"vrh85",0,66.4700012207031,5,NA,NA,NA,NA,NA,NA,NA,2510
"o709m",1,29.9799995422363,4,"dx3q5",65.6800003051758,NA,"fkcnn",66.6500015258789,NA,7,634
"gcbz8",1,34.8199996948242,5,NA,NA,NA,NA,NA,NA,NA,3512
"ytfet",0,54.0400009155273,3,NA,NA,NA,NA,NA,NA,NA,3814
"yl7wc",1,59.9799995422363,6,NA,NA,NA,NA,NA,NA,NA,2616
"tegaq",1,77.7900009155273,6,NA,NA,NA,NA,NA,NA,NA,3609
"u9sqn",0,34.810001373291,2,"nhxqr",74.8600006103516,NA,"pv3tx",70.25,NA,4,522
"z1vfs",0,43.5400009155273,4,NA,NA,NA,NA,NA,NA,NA,518
"iqmbe",1,54.1599998474121,4,NA,NA,NA,NA,NA,NA,NA,4816
"blqzb",0,69.7600021362305,4,NA,NA,NA,NA,NA,NA,NA,1606
"jq736",1,63.2599983215332,6,NA,NA,NA,NA,NA,NA,NA,4702
"cmzob",1,44.6500015258789,5,NA,NA,NA,NA,NA,NA,NA,3716
"org5q",0,59.9799995422363,8,NA,NA,NA,NA,NA,NA,NA,3616
"jhh9n",0,73.2699966430664,3,NA,NA,NA,NA,NA,NA,NA,3504
"ha5pg",0,34.4500007629395,7,NA,NA,NA,NA,NA,NA,NA,2513
"zg5ze",0,73.3300018310547,7,NA,NA,NA,NA,NA,NA,NA,513
"emfiy",0,77.2799987792969,6,NA,NA,NA,NA,NA,NA,NA,3518
"pv3tx",1,70.25,4,NA,NA,NA,NA,NA,NA,NA,3501
"hbmx2",0,55.7599983215332,5,NA,NA,NA,NA,NA,NA,NA,507
"k8u6l",1,34.9500007629395,5,"p4y8f",59.7000007629395,NA,"b0f9q",63.2999992370605,NA,6,4602
"hhh6s",1,29.8400001525879,4,"jli7i",58.6300010681152,NA,"z5inc",58.5999984741211,NA,4,4725
"e5nj7",0,66.629997253418,6,NA,NA,NA,NA,NA,NA,NA,2519
"hy98w",1,34.1399993896484,5,"nxrex",61.9599990844727,NA,"skaaq",66.5599975585938,38.7299995422363,5,602
"hseoe",0,32.5999984741211,4,NA,NA,NA,NA,NA,NA,NA,3710
"fwvrh",1,67.2699966430664,2,NA,NA,NA,NA,NA,NA,NA,4607
"fm5xx",1,51.3499984741211,8,NA,NA,NA,NA,NA,NA,NA,1605
"b71b4",0,32.1500015258789,1,NA,NA,NA,NA,NA,NA,NA,517
"kmjci",0,55.1500015258789,3,NA,NA,NA,NA,NA,NA,NA,4508
"p2v5y",0,64.1500015258789,6,NA,NA,NA,NA,NA,NA,NA,3836
"qciqo",0,41.7700004577637,3,NA,NA,NA,NA,NA,NA,NA,3841
"pvd0g",1,57.9900016784668,5,NA,NA,NA,NA,NA,NA,NA,4720
"n7rxq",0,72.6500015258789,6,NA,NA,NA,NA,NA,NA,NA,2505
"q4pto",1,37.8400001525879,5,"vi7kz",70.7399978637695,NA,"temb2",67.879997253418,NA,1,501
"m1864",0,45.3899993896484,3,NA,NA,NA,NA,NA,NA,NA,3929
"u5k5d",1,61.0400009155273,8,NA,NA,NA,NA,NA,NA,NA,3616
"tprvr",0,41.8699989318848,5,NA,NA,NA,NA,NA,NA,NA,1510
"h6xts",0,27.9799995422363,5,"h5iwp",65.2600021362305,NA,"uwfi9",64.0199966430664,42.6300010681152,3,4525
"bnw8c",0,67.5100021362305,3,NA,NA,NA,NA,NA,NA,NA,4605
"x51qr",1,64.5699996948242,3,NA,NA,NA,NA,NA,NA,NA,1622
"lm3li",0,36.4099998474121,4,NA,NA,NA,NA,NA,NA,NA,3706
"nxtdb",1,72.5800018310547,3,NA,NA,NA,NA,NA,NA,NA,2502
"hpa2c",1,63.3400001525879,5,NA,NA,NA,NA,NA,NA,NA,2510
"ahmxq",1,48.6500015258789,7,NA,NA,NA,NA,NA,NA,NA,4721
"aoqzu",1,64.9300003051758,6,NA,NA,NA,NA,NA,NA,NA,3817
"hpjby",1,73.5500030517578,7,NA,NA,NA,NA,NA,NA,NA,2530
"ubtpl",0,50.6500015258789,5,NA,NA,NA,NA,NA,NA,NA,3824
"m16oa",1,52.7999992370605,2,NA,NA,NA,NA,NA,NA,NA,4820
"icdu7",0,24.2900009155273,4,"xtie1",52.4199981689453,NA,"xzy9w",NA,NA,5,2630
"ulhvv",0,62.2299995422363,5,NA,NA,NA,NA,NA,NA,NA,2603
"z4bir",0,40,1,NA,NA,NA,NA,NA,NA,NA,4621
"cczqj",0,54.4300003051758,3,NA,NA,NA,NA,NA,NA,NA,1625
"abilq",0,73.8899993896484,4,NA,NA,NA,NA,NA,NA,NA,4503
"v6h1w",1,53.0499992370605,4,NA,NA,NA,NA,NA,NA,NA,4511
"txsbs",1,46.0499992370605,5,NA,NA,NA,NA,NA,NA,NA,2512
"o842h",1,74.8600006103516,5,NA,NA,NA,NA,NA,NA,NA,1613
"sbirf",1,60.2599983215332,7,NA,NA,NA,NA,NA,NA,NA,3516
"kkhi6",0,58.2799987792969,1,NA,NA,NA,NA,NA,NA,NA,4612
"aegeu",0,64.3300018310547,2,NA,NA,NA,NA,NA,NA,NA,4810
"i1pfe",1,50.3899993896484,6,NA,NA,NA,NA,NA,NA,NA,624
"nxrex",0,61.9599990844727,5,NA,NA,NA,NA,NA,NA,NA,616
"u4beq",1,57.0400009155273,4,NA,NA,NA,NA,NA,NA,NA,3701
"ppqgb",0,61.2000007629395,5,NA,NA,NA,NA,NA,NA,NA,4717
"gxwi0",1,37.7999992370605,6,NA,NA,NA,NA,NA,NA,NA,1508
"n8rzm",1,26.7999992370605,2,"jvvb2",61.1199989318848,NA,"x51qr",64.5699996948242,NA,3,1632
"i4l9r",0,29.3500003814697,2,"fnbz7",54.8800010681152,NA,"vbg1u",59.6300010681152,NA,6,1519
"fa6o0",1,71.7699966430664,6,NA,NA,NA,NA,NA,NA,NA,4715
"a6xtj",1,80.3000030517578,6,NA,NA,NA,NA,NA,NA,NA,3934
"atd80",1,47.3600006103516,2,"fad84",72.4300003051758,NA,"vnopa",72.4300003051758,NA,6,607
"esmr9",0,58.2799987792969,5,NA,NA,NA,NA,NA,NA,NA,2526
