"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"xwswa","m",33.6767120361328,2.46000003814697,"rn9s9",62.6986312866211,29.0219173431396,3,"csa26",56.6931495666504,23.0164375305176,3
"en8to","f",21.2712326049805,0.819999992847443,"pnc47",48.5972595214844,27.3260269165039,8,"bkanp",41.1150703430176,19.8438358306885,8
"poqgg","m",38.6821899414062,12.460000038147,"vs03c",58.0410957336426,19.3589038848877,9,"mhj5e",59.9232864379883,21.241096496582,9
"qw6tt","f",18.758903503418,0,"s0k8c",39.1506843566895,20.3917808532715,2,NA,NA,NA,NA
"pdmjd","f",19.7424659729004,2.64000010490417,NA,NA,NA,NA,NA,NA,NA,NA
"dupat","f",22.7616443634033,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"pb47o","m",38.0273971557617,3,"sk2w0",71.7041091918945,33.6767120361328,4,"lk16z",68.7013702392578,30.6739730834961,4
"a2esy","f",59.6958885192871,8,NA,NA,NA,NA,NA,NA,NA,NA
"jx0j6","f",36.9890403747559,4.6399998664856,"jy4dn",60.6958885192871,23.7068500518799,7,"smjzp",55.6931495666504,18.7041091918945,7
"c3dsm","f",59.6958885192871,9.81999969482422,NA,NA,NA,NA,NA,NA,NA,NA
"crmqk","f",22.7452049255371,1.82000005245209,NA,NA,NA,NA,NA,NA,NA,NA
"r1x56","f",43.5698623657227,9.64000034332275,"mul0g",74.7068481445312,31.1369857788086,5,"s223l",50.2821922302246,6.71232891082764,5
"y0zqy","f",43.6849327087402,6,NA,NA,NA,NA,NA,NA,NA,NA
"fr47d","m",17.8657531738281,0,"jy4dn",60.6958885192871,42.830135345459,7,"smjzp",55.6931495666504,37.8273963928223,7
"il8cz","m",33.8712310791016,1.63999998569489,"h0yzm",65.6986312866211,31.8273963928223,8,"tosdh",62.6986312866211,28.8273963928223,8
"j2icr","m",25.6712322235107,2.64000010490417,"ely87",48.687671661377,23.0164375305176,6,"rnd2j",45.6849327087402,20.0136985778809,6
"ngq4h","f",26.0904102325439,1.82000005245209,"a99nn",47.0986289978027,21.0082187652588,8,"qr6xo",45.613697052002,19.523286819458,7
"twuea","f",21.668493270874,0,"ygfkq",47.263011932373,25.5945205688477,7,"w9zwh",45.3397254943848,23.6712322235107,8
"uhdbd","m",44.6849327087402,7.6399998664856,"xvieo",69.4602737426758,24.7753429412842,6,"vdv68",71.7041091918945,27.0191783905029,3
"h0yzm","m",65.6986312866211,8,"tiqf0",72.04931640625,6.35068511962891,7,"s072y",22.0136985778809,-43.6849327087402,1
"i9rdv","m",54.0356178283691,4,NA,NA,NA,NA,"qhlbl",NA,NA,NA
"eg2ga","f",37.7561645507812,5.46000003814697,"xo4a4",69.8000030517578,32.0438346862793,7,"ulffl",80.5780792236328,42.8219184875488,8
"h15u9","f",21.668493270874,0,"rmd4v",55.6931495666504,34.024658203125,9,"hkiut",53.6904106140137,32.0219192504883,9
"ihmut","m",62.6986312866211,8,"vvk8g",64.0438385009766,1.34520542621613,4,"lmbsv",81.5534210205078,18.8547954559326,4
"dhnmf","f",29.6739730834961,3.64000010490417,"rlgmu",76.7068481445312,47.0328750610352,7,"nx14f",66.7013702392578,37.0273971557617,7
"b9hn8","m",31.6767120361328,NA,"oeqhm",NA,NA,NA,"blo4c",48.687671661377,17.0109596252441,4
"vkr6y","m",19.1643829345703,0,"dwodj",57.6931495666504,38.5287666320801,10,"d4zfe",38.9068489074707,19.7424659729004,8
"s4j1p","m",17.4136981964111,0,"poqgg",38.6821899414062,21.2684936523438,10,"eoez1",36.2219161987305,18.808219909668,1
"zupud","f",42.7753410339355,3,"ie026",69.7013702392578,26.9260272979736,5,"k6pgi",64.6986312866211,21.9232883453369,5
"fkhlo","f",29.1616439819336,2.64000010490417,NA,NA,NA,NA,NA,NA,NA,NA
"chpmd","m",18.9205474853516,0,"pmegj",45.6849327087402,26.76438331604,7,"hhr2b",42.4000015258789,23.4794521331787,7
"aqhob","f",41.9424667358398,3.64000010490417,"o91yt",83.7123260498047,41.7698631286621,4,"xrqob",78.709587097168,36.7671241760254,1
"ravr7","m",35.1232872009277,3,"n4ogn",69.6109619140625,34.4876708984375,8,"brn4y",37.024658203125,1.90136981010437,4
"pljun","m",23.6712322235107,0,"zdti6",59.6958885192871,36.024658203125,6,"d38mz",56.6931495666504,33.0219192504883,6
"oeqhm","m",52.783561706543,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rh4ql","f",34.0904121398926,3.8199999332428,NA,NA,NA,NA,NA,NA,NA,NA
"ofcpb","f",24.6712322235107,NA,"fh6h4",50.6904106140137,26.0191783905029,9,"k27gm",45.6849327087402,21.0136985778809,9
"njmbu","f",30.4219169616699,2.8199999332428,"ssn5h",68.1095886230469,37.687671661377,11,"edth4",51.0356178283691,20.6136989593506,8
"y375q","m",17.5616436004639,0,"e4jrk",38.024658203125,20.4630146026611,9,"k1bp9",48.312328338623,30.7506847381592,7
"qhgdz","f",20.5698623657227,0,"k06nr",65.6438369750977,45.0739707946777,4,"fvwln",48.687671661377,28.1178073883057,4
"ssn5h","m",68.1095886230469,11,NA,NA,NA,NA,NA,NA,NA,NA
"qihwa","f",35.6794509887695,5,"rlgmu",76.7068481445312,41.0273971557617,7,"nx14f",66.7013702392578,31.0219173431396,7
"v871y","m",52.6904106140137,6,NA,NA,NA,NA,NA,NA,NA,NA
"s4ecp","f",49.0328750610352,3,"n4ogn",69.6109619140625,20.5780830383301,8,"brn4y",37.024658203125,-12.0082187652588,4
"gw59f","m",21.668493270874,0,"synk4",43.6849327087402,22.0164375305176,9,"r1x56",43.5698623657227,21.9013690948486,8
"xuug2","m",21.3095893859863,0,"u36tx",49.2356147766113,27.9260272979736,6,"mcs74",37.4410972595215,16.1315059661865,5
"sp62r","m",28.0191783905029,1.63999998569489,NA,NA,NA,NA,"bhfu3",52.6904106140137,24.6712322235107,3
"akk2c","m",35.6739730834961,3.64000010490417,NA,NA,NA,NA,NA,NA,NA,NA
"z9ytg","m",64.7753448486328,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mp3iw","m",24.6821918487549,0,"pb47o",38.0273971557617,13.3452053070068,3,"ttgu3",31.0219173431396,6.33972597122192,3
"cb0fn","f",31.6958904266357,2.8199999332428,"ccr18",69.5205459594727,37.8246574401855,6,"ktope",75.0500030517578,43.3541107177734,6
"fytsf","f",51.6904106140137,7,NA,NA,NA,NA,NA,NA,NA,NA
"rt478","f",24.7561645507812,0.819999992847443,"pmegj",45.6849327087402,20.9287662506104,7,"hhr2b",42.4000015258789,17.643835067749,7
"srx7h","f",35.6794509887695,1,"jy4dn",60.6958885192871,25.0164375305176,7,"smjzp",55.6931495666504,20.0136985778809,7
"n44tk","f",15.3972606658936,0,NA,NA,NA,NA,"aldfq",41.2273979187012,25.8301372528076,5
"nknq0","m",45.6849327087402,3,NA,NA,NA,NA,NA,NA,NA,NA
"hy0yh","m",35.3232879638672,0,"n4ogn",69.6109619140625,34.287670135498,8,"grfh3",58.5862998962402,23.2630138397217,4
"ywagn","f",69.7917785644531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avi4x","m",63.3506851196289,6,NA,NA,NA,NA,NA,NA,NA,NA
"ygzvp","f",32.5890426635742,3.64000010490417,"uvilo",51,18.4109592437744,9,"hi1mx",59.6958885192871,27.1068496704102,8
"dioag","f",34.6794509887695,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oa601","f",21.668493270874,2.46000003814697,NA,NA,NA,NA,"pji97",57.6931495666504,36.024658203125,5
"ksapg","f",59.8383560180664,3,NA,NA,NA,NA,NA,NA,NA,NA
"fc5id","f",24.7260265350342,3.64000010490417,"w4tmg",51.6904106140137,26.9643840789795,6,"xwskh",45.6849327087402,20.9589042663574,6
"mtgu7","f",26.6739730834961,1.63999998569489,"rlgmu",76.7068481445312,50.0328750610352,7,"nx14f",66.7013702392578,40.0273971557617,7
"u1nye","f",19.6739730834961,1.63999998569489,"vs03c",58.0410957336426,38.3671226501465,9,"mhj5e",59.9232864379883,40.2493133544922,9
"hi1mx","f",59.6958885192871,8,"spkgn",55.0383567810059,-4.65753412246704,3,"eiddq",65.5424652099609,5.84657526016235,3
"f23xq","m",26.1561641693115,1,"ygfkq",47.263011932373,21.1068496704102,7,"w9zwh",45.3397254943848,19.1835613250732,8
"l7u5v","f",21.3999996185303,1,"gouug",57.6931495666504,36.2931518554688,11,"dp8nn",53.4137001037598,32.0136985778809,6
"lisj3","m",31.0438346862793,3.8199999332428,"pt43m",66.4383544921875,35.3945198059082,8,"jktr7",62.5945205688477,31.5506858825684,8
"mbpyw","f",22.7616443634033,1,NA,NA,NA,NA,NA,NA,NA,NA
"q6bt6","m",30.7671241760254,3.64000010490417,NA,NA,NA,NA,NA,NA,NA,NA
"ely87","m",48.687671661377,6.82000017166138,NA,NA,NA,NA,"qhlbl",NA,NA,NA
