"sex","weightm","weightf","weight","age","agef","agem","fid","mid"
"F",48.7000007629395,NA,49.7000007629395,30.6900005340576,NA,70.5800018310547,NA,"kjq0p"
"M",NA,NA,48,57.5800018310547,NA,NA,"tz201","vnebe"
"M",NA,58.4000015258789,66.1999969482422,24.5799999237061,64.5800018310547,NA,"qyzhj",NA
"M",54.7000007629395,NA,56.4000015258789,22.5799999237061,NA,27.5400009155273,"ky2u8","dsh1i"
"F",NA,NA,52,23.8500003814697,NA,NA,"r8e1e","sx05d"
"F",NA,NA,43.5999984741211,19.4699993133545,NA,NA,"zqmgk","ok10u"
"F",43.7000007629395,NA,53.2999992370605,22.7199993133545,NA,56.5800018310547,"uuxcs","g4rc5"
"F",NA,NA,49.9000015258789,33.4500007629395,NA,NA,NA,NA
"F",55,NA,57.7000007629395,21.7199993133545,NA,48.7999992370605,"y2e4x","czlvb"
"M",53.5,NA,62,25,NA,45.0499992370605,"suhmb","fz3us"
"F",NA,NA,53,23.1499996185303,NA,NA,NA,"busdx"
"M",58.2000007629395,56.7999992370605,69.4000015258789,27.5799999237061,50.5800018310547,39.7000007629395,"pzwgx","lpod4"
"F",46.7999992370605,NA,52.9000015258789,29.6800003051758,NA,43.7999992370605,"cfzsm","pr4iz"
"F",NA,NA,53.4000015258789,30.7099990844727,NA,NA,"f6pzh","h5vso"
"F",NA,NA,51.5999984741211,33.0400009155273,NA,NA,"fejkx","ca23o"
"F",NA,NA,55.5999984741211,19.8299999237061,NA,NA,"yuymj","lcmgf"
"F",NA,NA,57.4000015258789,42.1500015258789,NA,NA,"aq120","g0mgk"
"F",NA,49.5999984741211,42.2000007629395,22.1299991607666,49,NA,"ef4y1","spfdc"
"F",NA,NA,55.0999984741211,19.25,NA,NA,"np376","i59v6"
"F",NA,NA,53.4000015258789,32.7200012207031,NA,NA,NA,NA
"F",NA,NA,47.4000015258789,26.6399993896484,NA,NA,NA,NA
"F",NA,NA,57.2999992370605,20.7999992370605,NA,NA,NA,NA
"F",NA,NA,51.2000007629395,38.1500015258789,NA,NA,"f1782","ylg8z"
"F",NA,NA,52.0999984741211,24.2399997711182,NA,NA,NA,"busdx"
"F",43.7000007629395,59.9000015258789,54.0999984741211,18.7099990844727,54.9199981689453,56.5800018310547,"brocg","g4rc5"
"F",NA,NA,50.2999992370605,27.6200008392334,NA,NA,NA,NA
"F",NA,NA,40.9000015258789,20.6399993896484,NA,NA,"spymy","r8xot"
"M",NA,59.4000015258789,70.1999969482422,35.5800018310547,64.5800018310547,NA,"daw9v","xqdx9"
"M",NA,NA,58.7000007629395,69.5800018310547,NA,NA,NA,NA
"M",NA,NA,63,48.5800018310547,NA,NA,NA,NA
"F",NA,NA,72.5,47.6199989318848,NA,NA,NA,NA
"F",NA,NA,49.7999992370605,46.3199996948242,NA,NA,"y10zg","sx1sg"
"F",68.4000015258789,57.9000015258789,62.0999984741211,22.3400001525879,59.5800018310547,46,"dwl6w","rk2wq"
