"patrimony","patrimonyf","hid"
181200,283200,"d4dx5"
20000,200,"qs6z9"
20000,25200,"c4ced"
11000,51000,"rg8zg"
70000,290200,"obizp"
64000,419700,"fhath"
12200,200,"w9hlz"
4000,36000,"bvxx1"
60000,160200,"y5sge"
55000,44000,"gio1i"
30200,50200,"q9ja5"
20000,32200,"xzvd4"
20000,65000,"vd2qo"
20000,159200,"n54re"
289700,514900,"t24q8"
60000,101200,"v298i"
22000,75200,"feehl"
84000,84000,"vvuur"
18000,235200,"mvmb4"
9000,65200,"yhkkn"
30000,10200,"zmjdd"
24000,200,"shhty"
40000,50200,"ys4es"
6000,0,"l70m3"
4000,16000,"wel55"
16000,45000,"dum4r"
100000,578200,"bvusb"
90000,199200,"ic6ip"
24000,9200,"c77oi"
20000,103000,"qkdwn"
28000,49000,"hnktq"
28000,8200,"drnmm"
40000,20000,"wt8p3"
20000,45200,"mvzi2"
102200,102000,"anyic"
20000,20000,"i00zi"
20000,200,"sq4x2"
60000,200,"ehzjo"
61000,82200,"inehi"
12000,53000,"kemrk"
40000,140200,"vy2s8"
18000,8200,"p96fy"
176000,200,"sqz3r"
36000,75200,"fo1eg"
45000,10200,"rwm3u"
55000,200,"rpg2n"
36000,305200,"t7e71"
60000,20000,"oixsj"
20000,4200,"ef1cp"
386000,349200,"rnma6"
20000,200,"i88th"
16000,200,"rq3ju"
40000,47200,"ow34o"
200,200,"xcjmf"
150000,185200,"cmt11"
40000,187200,"fdmbo"
86000,40200,"e1tee"
76000,4200,"gu3fp"
